16:03:52.865 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.name: submitMessage
16:03:52.881 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.name: submitMessage
16:03:52.882 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:03:53.888 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:03:53.889 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //li[contains(text(),'The message cannot be blank.')]
16:03:53.909 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //li[contains(text(),'The message cannot be blank.')]
16:03:53.939 [main] INFO  oct1_log4jframework.LogfileImpl - ContactUsTest002 PASS
16:03:53.943 [main] INFO  oct1_log4jframework.LogfileImpl - Test Successfully Finished : ContactUsTest002
16:03:53.946 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:03:53.966 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:03:53.966 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:03:55.399 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:03:57.303 [main] INFO  oct1_log4jframework.LogfileImpl - New Test Started : ContactUsTest003
16:03:57.304 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:03:57.320 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:03:57.321 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:03:58.306 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:03:58.306 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:03:58.323 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:03:58.367 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //select[@id='id_contact']
16:03:58.378 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //select[@id='id_contact']
